mode,base_spread,mean_pnl,mean_pnl_ci_lo,mean_pnl_ci_hi,std_pnl,sharpe,sharpe_ci_lo,sharpe_ci_hi,risk_of_ruin,risk_of_ruin_ci_lo,risk_of_ruin_ci_hi,pnl_5th_percentile,pnl_worst_5pct_mean,mean_max_drawdown,fill_rate,mean_abs_inventory,time_at_limit,spread_capture,adverse_selection,inventory_pnl,liquidation
naive,0.14,18.2447,17.57672,18.91268,24.09901,0.75707,0.7115,0.80327,0.1724,0.16218,0.18312,-25.83451,-50.46172,22.11876,0.27795,11.6824,0.19261,38.91293,-19.78698,-0.00858,-0.87267
naive,0.16,19.62517,19.00163,20.24871,22.49572,0.8724,0.82176,0.92323,0.149,0.1394,0.15914,-21.27844,-43.68312,20.45671,0.24032,10.9867,0.17212,38.45157,-17.92894,-0.07631,-0.82115
naive,0.18,20.26464,19.6807,20.84858,21.06727,0.9619,0.90941,1.01287,0.1266,0.11767,0.1361,-18.14229,-38.58438,18.90399,0.20641,10.34133,0.14872,37.15463,-16.04606,-0.06743,-0.7765
naive,0.2,20.29936,19.75437,20.84435,19.66177,1.03243,0.97928,1.08664,0.1102,0.10182,0.11918,-15.88151,-34.29245,17.36092,0.1762,9.61064,0.12676,35.23986,-14.20402,-0.01785,-0.71863
naive,0.22,19.68332,19.17812,20.18851,18.22606,1.07995,1.02641,1.13621,0.0916,0.08391,0.09991,-13.72084,-31.19411,16.00876,0.14954,8.91855,0.10486,32.8997,-12.44758,-0.09593,-0.67287
naive,0.24,18.82208,18.35377,19.29038,16.89536,1.11404,1.06258,1.16829,0.0794,0.07222,0.08722,-11.31896,-27.46103,14.75028,0.12636,8.24322,0.08537,30.32719,-10.8118,-0.07122,-0.62209
naive,0.26,17.74538,17.31163,18.17912,15.64839,1.13401,1.07941,1.18844,0.0642,0.05773,0.07133,-9.63409,-24.68038,13.55245,0.10632,7.60895,0.06666,27.6444,-9.32345,-0.00324,-0.57232
naive,0.28,16.45698,16.05963,16.85432,14.33518,1.14801,1.0946,1.20089,0.055,0.04902,0.06167,-8.78074,-21.40837,12.37068,0.08909,6.97118,0.04876,24.94635,-7.97485,0.00857,-0.52309
naive,0.3,15.20257,14.83704,15.5681,13.18741,1.15281,1.10139,1.20182,0.0424,0.03716,0.04835,-8.37122,-18.87134,11.2134,0.07439,6.36747,0.03289,22.31688,-6.78211,0.14528,-0.47748
naive,0.32,13.70673,13.37271,14.04076,12.05081,1.13741,1.08725,1.18656,0.0366,0.03174,0.04217,-7.86744,-17.23641,10.31917,0.06198,5.81188,0.02193,19.83277,-5.73831,0.0487,-0.43642
naive,0.34,12.38084,12.07586,12.68582,11.00296,1.12523,1.07427,1.1739,0.0306,0.02617,0.03575,-7.62962,-16.22901,9.46292,0.05145,5.29341,0.01361,17.4945,-4.82495,0.11139,-0.4001
naive,0.36,11.10328,10.82374,11.38282,10.08506,1.10096,1.04783,1.15048,0.0288,0.02451,0.03381,-6.81378,-15.22375,8.63045,0.04262,4.82783,0.00859,15.3414,-4.03341,0.15895,-0.36366
naive,0.38,9.81611,9.56319,10.06904,9.12492,1.07575,1.02688,1.12511,0.0202,0.01665,0.02448,-6.00455,-13.80623,7.89431,0.03526,4.39288,0.00417,13.39857,-3.36838,0.11674,-0.33082
naive,0.4,8.59689,8.36551,8.82826,8.34743,1.02988,0.98467,1.07486,0.0132,0.01039,0.01676,-6.2502,-12.24597,7.26043,0.02909,4.0038,0.00185,11.63696,-2.80433,0.06535,-0.3011
naive,0.42,7.54555,7.33358,7.75753,7.64744,0.98668,0.94,1.03313,0.0088,0.00656,0.01179,-5.33953,-11.05895,6.66955,0.02398,3.65613,0.00085,10.07202,-2.32675,0.0748,-0.27452
naive,0.44,6.59016,6.39843,6.78189,6.91718,0.95272,0.90822,0.99586,0.0056,0.00388,0.00808,-4.88264,-9.99315,6.09494,0.01977,3.31169,0.00017,8.69968,-1.9295,0.07088,-0.2509
naive,0.46,5.73037,5.55314,5.9076,6.39405,0.8962,0.84855,0.94218,0.0052,0.00355,0.00761,-4.87565,-9.79022,5.59887,0.01626,3.00173,2e-05,7.47896,-1.59111,0.06952,-0.227
naive,0.48,4.93599,4.77596,5.09602,5.77341,0.85495,0.81082,0.89802,0.0042,0.00275,0.00641,-4.30625,-9.01048,5.07737,0.01332,2.70288,0.0,6.39192,-1.30909,0.05736,-0.20419
naive,0.5,4.23615,4.09241,4.37988,5.18561,0.8169,0.77551,0.85661,0.0028,0.00167,0.00469,-4.04187,-8.11724,4.60851,0.01094,2.41813,0.0,5.47095,-1.08036,0.02954,-0.18399
